equipment_id,serial_number,equipment_desc,eq_length,eq_width,eq_height,eq_weight,dancefloor_restricted,dims_found,dims_missing
6399,15083020,Kat’s Big Grill,157.0,39.0,76.0,0,0.0,True,False
6515,,Nitrogen Carts,80.0,45.0,50.0,0,0.0,True,False
6700,21022753,KAT Big Grill2,157.0,39.0,76.0,0,0.0,True,False
6962,,02x Pit,130.0,56.0,92.0,,0.0,True,False
6963,24016057,42x prc,134.0,38.0,93.0,1,0.0,True,False
6964,24016056,02x prc,134.0,38.0,93.0,1,0.0,True,False
6965,,48 PRC,134.0,38.0,93.0,,0.0,True,False
6966,,,,,,,,False,True
6967,21022689,Media Driv Wagon1,98.0,79.0,50.0,0,0.0,True,False
6969,22008784,43 Pit,128.0,57.0,90.0,0,0.0,True,False
6970,17000641,45 PRC,130.0,36.0,86.0,0,0.0,True,False
6971,26013126,43 PRC,146.0,37.0,91.0,0,0.0,True,False
6973,,NBC Pit,170.0,56.0,90.0,1,0.0,True,False
6975,18083053,21 PRC,144.0,38.0,85.0,0,0.0,True,False
6977,18083001,21 pit,131.0,57.0,90.0,0,0.0,True,False
6979,12001076,54 tent,18.0,29.0,0.0,0,0.0,True,False
6980,18083067,19 tent1,18.0,26.0,0.0,0,0.0,True,False
6981,18083068,19 tent2,18.0,26.0,0.0,0,0.0,True,False
6982,26013173,20 Tent 1,18.0,26.0,1.0,0,0.0,True,False
6983,859272,11 tent,18.0,26.0,0.0,0,0.0,True,False
6984,,Monster Fridge2,32.0,32.0,60.0,0,0.0,True,False
6986,859252,11 PRC,127.0,35.0,92.0,0,0.0,True,False
6988,21022716,54 pit,147.0,60.0,110.0,0,1.0,True,False
6993,22008660,11 pit,147.0,58.0,110.0,1,0.0,True,False
6994,22008661,19 pit,147.0,58.0,110.0,1,0.0,True,False
6998,26013138,RWR Grill Cart,115.0,33.0,51.0,0,0.0,True,False
6999,21022755,Track Service cart,134.0,37.0,72.0,0,0.0,True,False
7000,12013011,Awning cart Big,143.0,52.0,105.0,0,0.0,True,False
7002,12013010,NXS Awning cart,142.0,40.0,105.0,0,0.0,True,False
7003,15083020,Kat’s Big Grill,157.0,39.0,76.0,0,0.0,True,False
7004,26013135,KAT Med Grill1,72.0,37.0,48.0,0,0.0,True,False
7005,,ATV16,89.0,50.0,50.0,0,0.0,True,False
