trailer_id,name,trailer_view,is_awning,cup_equipment,nxs_equipment
6,T-22,NOAPS,False,False,True
7,T-07,Cup,False,True,False
8,T-24,Cup,False,True,False
9,T-33,Cup,False,True,False
11,T-12,Cup,False,True,False
12,T-11,NOAPS,False,False,True
13,T-08,NOAPS,False,False,True
15,T-21,Cup,False,True,False
16,T-09,Cup,False,True,False
17,T-32,Cup,False,True,False
18,T-23,Cup,False,True,False
19,T-29,NOAPS,False,False,True
21,T-31,Cup,False,True,False
22,T-28,NOAPS,False,False,True
24,T-10,Cup,False,True,False
26,T-25,Cup,False,True,False
28,T-35,Cup,False,True,False
33,T-34,Cup,False,True,False
40,T-15,NOAPS,False,False,True
42,T-17,NOAPS,False,False,True
51,T-06,NOAPS,False,False,True
54,T-12 Top,Cup,False,True,False
55,T-02,NOAPS,False,False,True
56,T-03,NOAPS,False,False,True
57,T-05,Cup,False,True,False
58,03-Awn,Awning,True,False,False
60,01- Big,Awning,True,False,False
68,F-10,Cup,False,True,False
79,T-37,Cup,False,True,False
80,T-38,NOAPS,False,False,True
